,x,y,cluster
0,3715.5842563295205,30.71478291798882,2
1,29818.579388971048,-17.036943240294438,0
2,-31744.41746595948,16.420804045972524,1
3,50610.58167440993,3.7896682284260432,0
4,28076.582638931177,14.143741657697577,0
5,23893.580755127914,-3.395291629008039,0
6,35540.58259701265,13.362278949954788,0
7,72666.58051448182,-8.520679793463033,3
8,30636.583443364572,21.906149148673986,0
9,53691.57987639386,-13.534823708680666,0
10,-12485.420080140137,-9.602275450142027,2
11,6641.5797076947965,-12.604178268801206,2
12,-12267.420374669988,-12.630641054058808,2
13,-31580.416310999946,27.429822753696712,1
14,-18055.419724154155,-6.024795451870969,2
15,-32526.419245766538,-0.5009498878629758,1
16,4595.58276033644,16.6058877855068,2
17,36479.579665642435,-14.754952310179549,0
18,140997.58108406674,-6.665666316664298,3
19,23702.580355409158,-7.417375348879396,0
20,-2177.417714889602,12.314500717540959,2
21,26556.58170475344,5.308711441792755,0
22,-31150.41757404146,15.359261404510166,1
23,13963.581785943179,6.623425672921534,0
24,-17287.419924941587,-8.102068236862488,2
25,-49045.418730493715,5.240597152814965,1
26,-52690.41839674992,8.611219865089542,1
27,42070.581408291175,1.7044040437356653,0
28,-1647.419184310453,-1.7319209356966494,2
29,54927.583528801704,21.363086215964653,0
30,38691.58079766901,-3.9656686903077296,0
31,-823.4199258345972,-8.84697172345118,2
32,41790.580159545476,-10.314239730254936,0
33,-33349.41661530314,24.61697592191342,1
34,34614.58051517696,-6.550070848183947,0
35,-16449.42006943652,-9.198314146770644,2
36,22430.580373019096,-7.287942376372815,0
37,6721.581082926518,0.3899218940632862,2
38,-1678.4188698982853,1.2693815330021128,2
39,-28412.42008513023,-8.956527141258231,1
40,42374.58015720013,-10.379256241845079,0
41,9966.579901064842,-10.9480112864207,2
42,12703.581760686226,6.770444778672073,2
43,34149.57956622504,-15.482359675187471,0
44,21380.58318902383,19.867848864402664,0
45,17432.580821164745,-2.7524525336892727,0
46,19227.581211717425,1.0830209146126035,0
47,-55533.42005927126,-7.086343286877488,1
48,9545.581254691735,2.104318317481359,2
49,1876.5801534395794,-8.107885193734514,2
50,-36423.419538276554,-3.1096756373443606,1
51,59241.58007293971,-12.148932601566043,0
52,-28896.419967199752,-7.910243577409939,1
53,-3796.4195006201194,-4.534554360444432,2
54,14875.583135727658,19.556577500557268,0
55,-62696.41970496296,-3.357013065251827,1
56,81620.58225534396,7.527104547975974,3
57,62702.580136539334,-11.481905455818504,0
58,31312.579486261064,-16.197882264822717,0
59,-5714.420339059472,-12.302271828817181,2
60,-13999.419838661284,-7.446961585681144,2
61,2686.582467285759,13.803956270125468,2
62,45455.58339437229,20.34471927822102,0
63,106430.57927279102,-22.078652453442633,3
